date,amount,transaction_type,category,merchant,description,payment_method
2025-10-01,382.64,Expense,Transport,OLA CABS,Ola Cabs purchase,Cash
2025-10-03,66241.79,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2025-10-04,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,UPI
2025-10-04,799.27,Expense,Bills,BROADBAND BILL,Broadband Bill,UPI
2025-10-04,1995.16,Expense,Healthcare,MEDICAL STORE,Medical Store purchase,UPI
2025-10-05,1675.9,Expense,Bills,ELECTRICITY BILL,Electricity Bill,Bank Transfer
2025-10-06,118.09,Expense,Food,ZOMATO,Zomato purchase,Card
2025-10-07,192.28,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Card
2025-10-08,530.27,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,UPI
2025-10-08,2148.64,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,Card
2025-10-08,1400.04,Expense,Other,DONATION,Donation purchase,UPI
2025-10-08,213.49,Expense,Entertainment,PVR CINEMAS,Pvr Cinemas purchase,UPI
2025-10-10,4119.15,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,UPI
2025-10-12,506.46,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2025-10-13,1942.21,Expense,Other,MISCELLANEOUS,Miscellaneous purchase,UPI
2025-10-14,6391.96,Income,Other,FREELANCE PAYMENT,Freelance project payment,Bank Transfer
2025-10-14,886.94,Expense,Bills,RENT PAYMENT,Rent Payment purchase,UPI
2025-10-14,152.56,Expense,Food,BIGBASKET GROCERY,Bigbasket Grocery purchase,Cash
2025-10-14,556.25,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2025-10-19,1479.92,Expense,Shopping,FLIPKART,Flipkart purchase,Cash
2025-10-20,737.8,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Card
2025-10-22,110.49,Expense,Other,MISCELLANEOUS,Miscellaneous purchase,Card
2025-10-22,680.05,Expense,Entertainment,NETFLIX,Netflix purchase,Cash
2025-10-23,373.94,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2025-10-23,198.13,Expense,Entertainment,BOOKMYSHOW,Bookmyshow purchase,Bank Transfer
2025-10-25,132.12,Expense,Food,STARBUCKS,Starbucks purchase,Bank Transfer
2025-10-25,2003.7,Expense,Education,COURSERA SUBSCRIPTION,Coursera Subscription purchase,Cash
2025-10-26,602.8,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2025-10-27,638.68,Expense,Bills,WATER BILL,Water Bill purchase,Bank Transfer
2025-10-28,471.74,Expense,Transport,OLA CABS,Ola Cabs purchase,Bank Transfer
2025-10-28,484.91,Expense,Food,SWIGGY,Swiggy purchase,UPI
2025-10-29,100.84,Expense,Food,DOMINOS PIZZA,Dominos Pizza purchase,Bank Transfer
2025-11-01,2436.0,Expense,Shopping,AJIO,Ajio purchase,Bank Transfer
2025-11-01,64654.34,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2025-11-02,2023.61,Expense,Shopping,AJIO,Ajio purchase,Card
2025-11-03,246.26,Expense,Other,ATM WITHDRAWAL,Atm Withdrawal purchase,UPI
2025-11-05,721.54,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2025-11-06,517.46,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,UPI
2025-11-06,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,Bank Transfer
2025-11-06,811.9,Expense,Food,DOMINOS PIZZA,Dominos Pizza purchase,Bank Transfer
2025-11-06,271.27,Expense,Entertainment,BOOKMYSHOW,Bookmyshow purchase,UPI
2025-11-06,2861.93,Expense,Bills,GAS CYLINDER,Gas Cylinder purchase,Card
2025-11-07,762.22,Expense,Shopping,AMAZON,Amazon purchase,Card
2025-11-07,340.76,Expense,Food,MCDONALDS,Mcdonalds purchase,Cash
2025-11-09,498.81,Expense,Food,DOMINOS PIZZA,Dominos Pizza purchase,UPI
2025-11-09,154.52,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Cash
2025-11-09,5591.95,Income,Other,FREELANCE PAYMENT,Freelance project payment,Bank Transfer
2025-11-09,1038.58,Expense,Bills,ELECTRICITY BILL,Electricity Bill,UPI
2025-11-10,18500.0,Expense,Shopping,AMAZON,Large one-off electronics purchase (synthetic demo anomaly),Card
2025-11-14,2478.92,Expense,Shopping,AJIO,Ajio purchase,UPI
2025-11-15,876.86,Expense,Food,BIGBASKET GROCERY,Bigbasket Grocery purchase,Card
2025-11-16,487.74,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,UPI
2025-11-20,122.21,Expense,Food,STARBUCKS,Starbucks purchase,UPI
2025-11-22,375.3,Expense,Other,MISCELLANEOUS,Miscellaneous purchase,Cash
2025-11-23,704.53,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Cash
2025-11-23,2434.44,Expense,Bills,GAS CYLINDER,Gas Cylinder purchase,Cash
2025-11-25,1635.92,Expense,Healthcare,DOCTOR CONSULTATION,Doctor Consultation purchase,Card
2025-11-26,90.56,Expense,Transport,PARKING FEE,Parking Fee purchase,Card
2025-11-27,144.45,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,Bank Transfer
